Graph:
uk.ac.bris.cs.scotlandyard.model.a@7ae4a03d -> uk.ac.bris.cs.scotlandyard.model.a@61583f15 [Value: TAXI(MRX@45, 46)]
uk.ac.bris.cs.scotlandyard.model.a@7ae4a03d -> uk.ac.bris.cs.scotlandyard.model.a@7345a3d8 [Value: SECRET(MRX@45, 60)]
uk.ac.bris.cs.scotlandyard.model.a@7ae4a03d -> uk.ac.bris.cs.scotlandyard.model.a@4894bf72 [Value: SECRET(MRX@45, 32)]
uk.ac.bris.cs.scotlandyard.model.a@7ae4a03d -> uk.ac.bris.cs.scotlandyard.model.a@60d43cb [Value: SECRET(MRX@45, 58)]
uk.ac.bris.cs.scotlandyard.model.a@7ae4a03d -> uk.ac.bris.cs.scotlandyard.model.a@7fcebe71 [Value: TAXI(MRX@45, 59)]
uk.ac.bris.cs.scotlandyard.model.a@4894bf72 -> uk.ac.bris.cs.scotlandyard.model.a@2a3c0d48 [Value: TAXI(RED@26, 27)]
uk.ac.bris.cs.scotlandyard.model.a@4894bf72 -> uk.ac.bris.cs.scotlandyard.model.a@6f85a123 [Value: TAXI(RED@26, 39)]
uk.ac.bris.cs.scotlandyard.model.a@6f85a123 -> uk.ac.bris.cs.scotlandyard.model.a@66a4a3ed [Value: TAXI(GREEN@29, 16)]
uk.ac.bris.cs.scotlandyard.model.a@6f85a123 -> uk.ac.bris.cs.scotlandyard.model.a@431a67cb [Value: BUS(GREEN@29, 55)]
uk.ac.bris.cs.scotlandyard.model.a@6f85a123 -> uk.ac.bris.cs.scotlandyard.model.a@70227201 [Value: TAXI(GREEN@29, 41)]
uk.ac.bris.cs.scotlandyard.model.a@6f85a123 -> uk.ac.bris.cs.scotlandyard.model.a@4f9f2ce4 [Value: TAXI(GREEN@29, 42)]
uk.ac.bris.cs.scotlandyard.model.a@6f85a123 -> uk.ac.bris.cs.scotlandyard.model.a@22082c44 [Value: TAXI(GREEN@29, 6)]
uk.ac.bris.cs.scotlandyard.model.a@6f85a123 -> uk.ac.bris.cs.scotlandyard.model.a@38702056 [Value: TAXI(GREEN@29, 17)]
uk.ac.bris.cs.scotlandyard.model.a@6f85a123 -> uk.ac.bris.cs.scotlandyard.model.a@53f7bf40 [Value: BUS(GREEN@29, 15)]
